sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
1992-05-04;;;;180,43;180,43;180,43;;;;0;
1992-04-30;;;;179,16;179,16;179,16;;;;0;
1992-04-29;;;;179,11;179,11;179,11;;;;0;
1992-04-28;;;;179,34;179,34;179,34;;;;0;
1992-04-27;;;;180,20;180,20;180,20;;;;0;
1992-04-24;;;;180,15;180,15;180,15;;;;0;
1992-04-23;;;;179,57;179,57;179,57;;;;0;
1992-04-22;;;;178,12;178,12;178,12;;;;0;
1992-04-21;;;;179,64;179,64;179,64;;;;0;
1992-04-16;;;;180,48;180,48;180,48;;;;0;
1992-04-15;;;;179,68;179,68;179,68;;;;0;
1992-04-14;;;;177,35;177,35;177,35;;;;0;
1992-04-13;;;;175,99;175,99;175,99;;;;0;
1992-04-10;;;;177,48;177,48;177,48;;;;0;
1992-04-09;;;;174,59;174,59;174,59;;;;0;
1992-04-08;;;;176,24;176,24;176,24;;;;0;
1992-04-07;;;;179,41;179,41;179,41;;;;0;
1992-04-06;;;;180,34;180,34;180,34;;;;0;
1992-04-03;;;;177,45;177,45;177,45;;;;0;
1992-04-02;;;;180,47;180,47;180,47;;;;0;
1992-04-01;;;;180,58;180,58;180,58;;;;0;
1992-03-31;;;;181,74;181,74;181,74;;;;0;
1992-03-30;;;;182,14;182,14;182,14;;;;0;
1992-03-27;;;;183,16;183,16;183,16;;;;0;
1992-03-26;;;;182,63;182,63;182,63;;;;0;
1992-03-25;;;;184,39;184,39;184,39;;;;0;
1992-03-24;;;;182,43;182,43;182,43;;;;0;
1992-03-23;;;;181,90;181,90;181,90;;;;0;
1992-03-20;;;;183,61;183,61;183,61;;;;0;
1992-03-19;;;;183,71;183,71;183,71;;;;0;
1992-03-18;;;;182,73;182,73;182,73;;;;0;
1992-03-17;;;;179,49;179,49;179,49;;;;0;
1992-03-16;;;;179,43;179,43;179,43;;;;0;
1992-03-13;;;;179,10;179,10;179,10;;;;0;
1992-03-12;;;;176,76;176,76;176,76;;;;0;
1992-03-11;;;;178,84;178,84;178,84;;;;0;
1992-03-10;;;;179,58;179,58;179,58;;;;0;
1992-03-09;;;;179,65;179,65;179,65;;;;0;
1992-03-06;;;;179,74;179,74;179,74;;;;0;
1992-03-05;;;;179,08;179,08;179,08;;;;0;
1992-03-04;;;;179,14;179,14;179,14;;;;0;
1992-03-03;;;;177,61;177,61;177,61;;;;0;
1992-03-02;;;;176,01;176,01;176,01;;;;0;
1992-02-28;;;;174,10;174,10;174,10;;;;0;
1992-02-27;;;;172,93;172,93;172,93;;;;0;
1992-02-26;;;;171,27;171,27;171,27;;;;0;
1992-02-25;;;;170,47;170,47;170,47;;;;0;
1992-02-24;;;;171,22;171,22;171,22;;;;0;
1992-02-21;;;;170,56;170,56;170,56;;;;0;
1992-02-20;;;;169,35;169,35;169,35;;;;0;
1992-02-19;;;;170,34;170,34;170,34;;;;0;
1992-02-18;;;;171,73;171,73;171,73;;;;0;
1992-02-17;;;;172,06;172,06;172,06;;;;0;
1992-02-14;;;;171,44;171,44;171,44;;;;0;
1992-02-13;;;;173,43;173,43;173,43;;;;0;
1992-02-12;;;;174,50;174,50;174,50;;;;0;
1992-02-11;;;;175,38;175,38;175,38;;;;0;
1992-02-10;;;;173,92;173,92;173,92;;;;0;
1992-02-07;;;;176,43;176,43;176,43;;;;0;
1992-02-06;;;;176,53;176,53;176,53;;;;0;
1992-02-05;;;;178,32;178,32;178,32;;;;0;
1992-02-04;;;;176,15;176,15;176,15;;;;0;
1992-02-03;;;;174,33;174,33;174,33;;;;0;
1992-01-31;;;;176,00;176,00;176,00;;;;0;
